OrigFolder,Latitude,Longitude
L79_March-April_2017,N00 35.922,E036 48.371
L8_May_To_Oct_2016,N00 39.434,E036 47.292
N1_Low_February-April_2017,N01 04.547,E037 33.330
n10_high_namunyak_july_september_2016_100ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_101ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_102ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_103ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_104ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_105ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_106ek113,N01 03.126,E037 22.471
n10_high_namunyak_july_september_2016_107ek113,N01 03.126,E037 22.471
N10_Low_February-April_2017,N01 05.920,E037 34.680
n10b_high_namunyak_july_september_2016_100ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_101ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_102ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_103ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_104ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_105ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_106ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_107ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_108ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_109ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_110ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_111ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_112ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_113ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_114ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_115ek113,N01 03.126,E037 22.471
n10b_high_namunyak_july_september_2016_116ek113,N01 03.126,E037 22.471
n12_low_namunyak_july_september_2016_100ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_101ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_102ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_103ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_104ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_105ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_106ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_107ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_108ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_109ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_110ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_111ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_112ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_113ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_114ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_115ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_116ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_117ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_118ek113,N01 01.118,E037 23.350
n12_low_namunyak_july_september_2016_119ek113,N01 01.118,E037 23.350
n13_high_namunyak_july_september_2016_100ek113,N01 05.923,E037 33.214
n14_high_namunyak_july_september_2016_100ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_101ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_102ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_103ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_104ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_105ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_106ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_107ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_108ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_109ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_110ek113,N01 03.330,E037 23.948
n14_high_namunyak_july_september_2016_111ek113,N01 03.330,E037 23.948
N15_February-April_2017,N01 07.280,E037 34.723
N15_High_February-April_2017,N01 07.280,E037 34.723
n15_high_namunyak_july_september_2016_100ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_101ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_102ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_103ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_104ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_105ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_106ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_107ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_108ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_109ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_110ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_111ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_112ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_113ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_116ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_117ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_118ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_119ek113,N01 00.501,E037 23.722
n15_high_namunyak_july_september_2016_120ek113,N01 00.501,E037 23.722
n17_high_namunyak_july_september_2016_100ek113,N01 04.549,E037 31.998
n17_high_namunyak_july_september_2016_101ek113,N01 04.549,E037 31.998
n17_high_namunyak_july_september_2016_102ek113,N01 04.549,E037 31.998
N19_High_February-April_2017,N01 07.252,E037 33.334
n19_high_namunyak_july_september_2016_100ek113,unknown,unknown
n19_high_namunyak_july_september_2016_101ek113,unknown,unknown
n19_high_namunyak_july_september_2016_102ek113,unknown,unknown
N2_HIGH_unfolded_a,N01 01.118,E037 23.350
N2_HIGH_unfolded_b,N01 01.118,E037 23.350
N2_Low_February-April_2017,N01 07.252,E037 33.334
N20_HIGH_July_To_Sept_2016,N01 01.808,E037 25.006
n23_low_namunyak_july_september_2016100ek113,N01 00.178,E037 26.418
n23_low_namunyak_july_september_2016101ek113,N01 00.178,E037 26.418
n27_high_namunyak_july_september_2016,N01 01.819,E037 23.884
n28_low_namunyak_july_september_2016_100ek113,N01 05.923,E037 33.214
N30_February-April_2017,N00 57.874,E037 32.062
N30_Low_February-April_2017,N00 57.874,E037 32.062
n30_namunyak_july_september_2016_100ek113,N01 00.389,E037 25.139
N32_LOW_July_To_Sept_2016,N01 01.902,E037 27.924
n33_low_namunyak_july_september_2016_1_100ek113,N01 01.918,E037 33.381
n33_low_namunyak_july_september_2016_2_100ek113,N01 01.918,E037 33.381
n34_high_namunyak_july_september_2016_100ek113,N01 03.184,E037 33.422
n35_low_namunyak_july_september_2016_100ek113,N01 02.758,E037 24.592
n36_low_namunyak_july_september_2016_100ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_101ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_102ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_103ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_104ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_105ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_106ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_107ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_108ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_109ek113,N00 59.006,E037 26.605
n36_low_namunyak_july_september_2016_110ek113,N00 59.006,E037 26.605
N4_High_February-April_2017,N00 56.410,E037 27.951
N4_high_February-April_2017,N00 56.410,E037 27.951
N41_Low_February-April_2017,N01 59.144,E037 33.351
n41_low_namunyak_july_september_2016,unknown,unknown
n42_high_namunyak_july_september_2016,unknown,unknown
n43_low_nammunyak_july_september_2016_100ek113,unknown,unknown
n43_low_nammunyak_july_september_2016_101ek113,unknown,unknown
n43_low_nammunyak_july_september_2016_102ek113,unknown,unknown
N44_Low_February-April_2017,N00 57.377,E037 27.886
N45_High_February-April_2017,N01 03.173,E037 26.632
N46_High_February-April_2017,N00 57.874,E037 32.062
N52_Low_February-April_2017,unknown,unknown
N6_High_February-April_2017,N01 59.144,E037 33.351
N7_High_February-April_2017,N01 04.547,E037 33.330
S1_February-April_2017,N01 05.847,E037 33.150
S1_Low_February-April_2017,N01 05.847,E037 33.150
S11_Low_February-April_2017,N01 07.280,E037 34.723
S3_High_February-April_2017,N01 05.847,E037 33.150
S8_High_February-April_2017,unknown,unknown
S9_February-April_2017,N01 00.511,E037 23.946
S9_february-April_2017,N01 00.511,E037 23.946
S9_Low_February-April_2017,N01 00.511,E037 23.946
N20,N01 01.808,E037 25.006
L13_May_To_October_2016,N00 34.483,E036 47.353
N1 LOW unfolded,N01 04.547,E037 33.330
N24 LOW unfolded,N01 03.231,E037 25.313
N24_LOW_May-Oct_2016,N01 03.231,E037 25.313
N20_May-Oct_2016,N01 01.808,E037 25.006
S3 HIGH unfolded,N01 01.762,E037 25.288
S6 LOW unfolded,N01 01.762,E037 25.288
N32_LOW_May_To_Oct_2016,N01 01.902,E037 27.924
N4 HIGH,N01 01.902,E037 27.924
S8 HIGH unfolded,N01 04 529,E037 33.438
S3_High_May-Oct_2016,N01 01.762,E037 25.288
S9_Low_February-April_2017,N01 00.511,E037 23.946
L34_May_To_Oct_2016_unfolded,N00 37.460,E036 44.722
N2_HIGH_unfolded,N01 01.118,E037 23.350
l16_loisaba_may_october_2016,N00 40.924,E036 48.317
l18_loisaba_may_october_2016,N00 36.746,E036 51.676
